Player,Age,Tm,G,MP,TRB,AST,STL,BLK,PTS,FGA,FG%,3PA,3P%,eFG%,FT%,TOV,PF,PER,TS%,USG%,VORP,WS,TRB%,AST%,STL%,BLK%,TOV%,WS/48,BPM,Year,box,Share_mvp,Rank_mvp,got_votes_mvp,is_mvp,gp_pct
Shane Battier,28,HOU,82,36.400,4.100,2.100,1.000,0.700,10.100,8.000,0.446,4.500,0.421,0.567,0.779,0.900,2.300,12.000,0.589,12.100,3.200,9.000,6.500,9.200,1.400,1.500,9.300,0.144,2.300,2007,7.900,0.000,,0,0,1.000
Charlie Bell,27,MIL,82,34.700,2.900,3.000,1.200,0.000,13.500,11.900,0.437,4.400,0.352,0.503,0.780,1.300,2.600,13.100,0.530,18.300,0.500,4.000,4.900,13.600,1.800,0.100,9.000,0.068,-1.300,2007,7.100,0.000,,0,0,1.000
Raja Bell,30,PHO,78,37.400,3.200,2.500,0.600,0.300,14.700,12.200,0.432,6.400,0.413,0.539,0.776,1.100,3.000,12.000,0.562,17.000,1.400,5.800,5.000,9.500,0.900,0.500,7.500,0.095,-0.100,2007,6.600,0.000,,0,0,0.951
Mike Bibby,28,SAC,82,34.000,3.200,4.700,1.100,0.100,17.100,14.200,0.404,5.900,0.360,0.478,0.830,2.400,1.700,16.000,0.532,24.500,1.700,4.400,5.500,24.300,1.600,0.200,13.000,0.076,0.400,2007,9.100,0.000,,0,0,1.000
Andris Biedriņš,20,GSW,82,29.000,9.300,1.100,0.800,1.700,9.500,7.100,0.599,0.000,,0.599,0.521,1.500,3.700,16.200,0.598,13.800,1.000,6.700,17.500,5.400,1.400,4.300,15.400,0.136,-0.300,2007,12.900,0.000,,0,0,1.000
Mark Blount,31,MIN,82,31.000,6.200,0.800,0.500,0.700,12.300,10.200,0.509,0.400,0.290,0.514,0.754,1.900,2.900,12.700,0.546,19.800,-0.700,2.800,11.900,4.500,0.900,1.800,14.700,0.052,-3.100,2007,8.200,0.000,,0,0,1.000
Andrew Bogut,22,MIL,66,34.200,8.800,3.000,0.700,0.500,12.300,9.500,0.553,0.100,0.200,0.554,0.577,2.300,3.300,15.500,0.566,17.300,1.200,4.000,15.200,13.900,1.100,1.200,17.400,0.085,0.000,2007,13.000,0.000,,0,0,0.805
Bruce Bowen,35,SAS,82,30.000,2.700,1.400,0.800,0.300,6.200,5.700,0.405,2.800,0.384,0.500,0.589,0.800,2.100,7.100,0.511,10.900,0.600,4.100,5.500,7.000,1.300,0.700,11.500,0.079,-1.100,2007,5.200,0.000,,0,0,1.000
Elton Brand,27,LAC,80,38.500,9.300,2.900,1.000,2.200,20.500,15.100,0.533,0.000,1.000,0.533,0.761,2.500,3.000,23.100,0.581,24.300,4.800,11.500,14.500,14.700,1.300,4.500,12.500,0.180,4.200,2007,15.400,0.000,,0,0,0.976
Devin Brown,28,NOK,58,28.700,4.300,2.600,0.800,0.200,11.600,9.600,0.420,3.900,0.357,0.493,0.794,1.600,2.400,14.300,0.538,19.600,0.900,3.500,8.700,14.800,1.400,0.400,12.700,0.102,0.100,2007,7.900,0.000,,0,0,0.707
Kwame Brown,24,LAL,41,27.600,6.000,1.800,1.000,1.200,8.400,5.900,0.591,0.000,0.000,0.591,0.440,1.900,3.000,13.700,0.573,15.000,0.500,1.900,12.600,10.200,1.800,3.300,20.200,0.080,-0.300,2007,10.000,0.000,,0,0,0.500
Caron Butler,26,WAS,63,39.300,7.400,3.700,2.100,0.300,19.100,15.500,0.463,1.100,0.250,0.472,0.863,2.900,3.000,18.300,0.537,23.100,1.800,5.300,10.800,15.900,2.800,0.500,13.900,0.103,0.900,2007,13.500,0.000,,0,0,0.768
Rasual Butler,27,NOK,81,27.400,3.200,0.800,0.500,0.700,10.100,9.700,0.398,4.500,0.369,0.484,0.644,0.800,1.800,10.800,0.495,18.300,0.600,2.600,6.700,4.700,1.000,1.900,7.500,0.056,-0.900,2007,5.200,0.000,,0,0,0.988
Marcus Camby,32,DEN,70,33.800,11.700,3.200,1.200,3.300,11.200,9.400,0.473,0.000,0.000,0.473,0.729,1.700,2.600,19.100,0.519,15.900,4.000,7.600,19.400,14.100,1.800,7.000,13.900,0.155,4.700,2007,19.400,0.000,,0,0,0.854
Matt Carroll,26,CHA,72,26.100,2.900,1.300,0.700,0.100,12.100,9.100,0.433,3.700,0.416,0.517,0.904,1.000,2.400,14.600,0.580,19.900,1.100,4.600,6.500,8.200,1.500,0.400,8.900,0.117,0.300,2007,5.000,0.000,,0,0,0.878
Vince Carter,30,NJN,82,38.100,6.000,4.800,1.000,0.400,25.200,19.500,0.454,5.300,0.357,0.503,0.802,2.600,3.200,21.800,0.559,30.800,4.600,10.500,9.300,25.100,1.400,0.800,10.500,0.161,3.900,2007,12.200,0.000,,0,0,1.000
Tyson Chandler,24,NOK,73,34.600,12.400,0.900,0.500,1.800,9.500,6.400,0.624,0.000,0.000,0.624,0.527,1.700,3.300,17.000,0.620,12.300,1.600,7.900,20.700,4.100,0.800,4.100,18.500,0.150,0.600,2007,15.600,0.000,,0,0,0.890
