"Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"35","Tom Burleson","C","22","SEA","82","1888","16.1",".465",".343","8.4","22.7","15.5","8.6","1.5","4.2","0.2","3.1","3.3",".083","-1.2","0.9","-0.3","0.8"
"36","Corky Calhoun","SF","24","TOT","70","1378","9.1",".458",".242","7.7","11.1","9.4","7.5","1.8","0.9","0.0","0.9","1.0",".033","-2.8","0.0","-2.8","-0.2"
"36","Corky Calhoun","SF","24","PHO","13","108","13.7",".492",".469","13.1","18.4","15.7","5.0","2.6","1.0","0.1","0.1","0.2",".094","-3.0","0.2","-2.8","0.0"
"36","Corky Calhoun","SF","24","LAL","57","1270","8.7",".453",".217","7.2","10.5","8.9","7.7","1.7","0.9","0.0","0.8","0.7",".028","-2.8","0.0","-2.8","-0.2"
"37","Austin Carr","SG","26","CLE","41","1081","18.9",".507",".197","5.0","5.5","5.3","22.8","2.1","0.1","2.1","0.8","2.9",".127","2.9","-0.5","2.4","1.2"
"38","Fred Carter","PG","29","PHI","77","3046","15.9",".482",".217","2.4","9.0","5.7","18.2","1.2","0.3","2.8","1.9","4.7",".074","0.3","-1.0","-0.7","1.0"
"39","Harvey Catchings","C","23","PHI","37","528","12.1",".576",".338","9.3","20.1","14.7","5.2","0.9","6.0","0.3","0.8","1.2",".107","-2.1","3.1","1.0","0.4"
"40","Don Chaney","SG","28","BOS","82","2208","12.9",".471",".220","7.8","8.9","8.3","10.8","2.5","1.5","1.7","3.4","5.1",".111","-0.4","1.7","1.3","1.8"
"41","Ken Charles","SG","23","BUF","79","1690","12.5",".518",".283","4.3","5.6","4.9","13.3","2.3","0.6","1.7","1.3","3.0",".086","-1.0","0.6","-0.4","0.7"
"42","Phil Chenier","SG","24","WSB","77","2869","17.7",".496",".238","2.6","7.6","5.1","13.2","2.8","1.1","3.9","4.9","8.8",".147","1.4","1.5","2.9","3.5"
"43","Jim Chones","C","25","CLE","72","2427","16.1",".515",".245","6.8","22.8","14.8","8.1","1.0","2.7","2.8","3.5","6.2",".123","0.2","0.5","0.8","1.7"
"44","Archie Clark","PG","33","SEA","77","2481","16.2",".533",".210","2.4","7.3","4.9","25.2","2.0","0.1","4.5","1.7","6.2",".119","0.9","-0.4","0.5","1.6"
"45","Jim Cleamons","PG","25","CLE","74","2691","13.8",".520",".236","3.8","9.2","6.5","19.7","1.5","0.4","3.5","2.0","5.5",".097","0.2","0.1","0.3","1.6"
"46","Barry Clemens","SF","31","POR","77","952","13.2",".499",".169","3.8","13.5","8.9","11.7","3.3","0.1","0.3","1.3","1.6",".079","-2.3","1.3","-0.9","0.3"
"47","Ben Clyde","SF","23","BOS","25","157","11.3",".454",".125","9.6","16.3","13.0","4.5","1.4","1.0","0.0","0.2","0.2",".066","-4.1","-0.2","-4.3","-0.1"
