"Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"58","Phil Jordon","C","28","NYK","76","2195","9.9",".409",".163","-1.9","1.7","-0.2","-0.003"
"59","Red Kerr","C","29","SYR","80","2768","17.6",".482",".248","2.9","4.9","7.8",".136"
"60","Doug Kistler","F","23","NYK","5","13","12.2",".515",".667","0.0","0.0","0.0",".123"
"61","Jim Krebs","C","26","LAL","78","2012","12.4",".492",".297","2.1","2.1","4.2",".100"
"62","Fred LaCour","PG","23","STL","73","1507","11.3",".477",".243","1.2","0.6","1.7",".056"
"63","York Larese","SG","23","TOT","59","703","9.3",".421",".220","-0.3","0.6","0.3",".020"
"63","York Larese","SG","23","CHP","8","57","13.3",".501",".429","0.1","0.0","0.1",".101"
"63","York Larese","SG","23","PHW","51","646","9.0",".415",".206","-0.4","0.6","0.2",".013"
"64","Rudy LaRusso","PF","24","LAL","80","2754","16.8",".526",".404","5.8","2.9","8.8",".153"
"65","George Lee","SF","25","DET","75","1351","12.3",".458",".560","0.6","1.2","1.7",".061"
"66","Slick Leonard*","PG","29","CHP","70","2464","12.3",".436",".329","-0.1","1.3","1.2",".024"
"67","Jim Loscutoff","SF","31","BOS","79","1146","7.7",".379",".162","-1.9","2.4","0.5",".019"
"68","Clyde Lovellette*","C","32","STL","40","1192","19.7",".519",".258","3.1","0.5","3.6",".145"
"69","Ted Luckenbill","PF","22","PHW","67","396","9.1",".440",".633","0.0","0.4","0.4",".051"
"70","Whitey Martin","SG","22","NYK","66","1018","5.4",".359",".188","-1.3","0.8","-0.5","-0.022"
"71","Johnny McCarthy","PG","27","STL","15","333","5.8",".283",".370","-0.6","0.2","-0.4","-0.064"
"72","Shellie McMillon","SF","25","TOT","62","1225","13.5",".475",".308","1.1","0.6","1.7",".066"
"72","Shellie McMillon","SF","25","DET","14","190","7.3",".364",".434","-0.4","0.2","-0.2","-0.059"
"72","Shellie McMillon","SF","25","STL","48","1035","14.6",".495",".287","1.5","0.4","1.9",".088"
"73","Bob McNeill","PG","23","TOT","50","441","11.0",".457",".250","0.2","0.5","0.7",".075"
"73","Bob McNeill","PG","23","PHW","21","212","14.5",".502",".289","0.3","0.3","0.6",".130"
"73","Bob McNeill","PG","23","LAL","29","229","7.8",".398",".200","-0.1","0.2","0.1",".024"
"74","Tom Meschery","PF","23","PHW","80","2509","11.0",".463",".282","1.1","2.7","3.7",".072"
"75","Jackie Moreland","PF","23","DET","74","1219","14.7",".483",".382","1.2","1.3","2.6",".101"
"76","Willie Naulls","SF","27","NYK","75","2978","17.9",".470",".253","2.8","2.7","5.5",".089"
"77","Paul Neumann","PG","24","SYR","77","1265","11.8",".500",".429","1.6","1.6","3.2",".123"
"78","Chuck Noble","SG","30","DET","26","361","4.7",".301",".133","-0.8","0.3","-0.5","-0.063"
"79","Bevo Nordmann","C","22","CIN","58","344","9.6",".434",".452","-0.1","0.2","0.1",".014"
"80","Don Ohl","SG","25","DET","77","2526","13.9",".477",".224","2.7","1.8","4.5",".085"
"81","Chuck Osborne","PF","23","SYR","4","21","4.8",".256",".500","-0.1","0.0","-0.1","-0.134"
"82","Bob Pettit*","PF","29","STL","78","3282","24.5",".522",".467","9.6","1.9","11.5",".168"
"83","Gary Phillips","PG","22","BOS","67","713","7.2",".388",".277","-1.0","1.2","0.3",".018"
"84","Dave Piontek","PF","27","CHP","45","614","8.3",".408",".262","-0.5","0.4","-0.1","-0.008"
"85","Frank Radovich","F","23","PHW","37","175","9.9",".417",".280","-0.1","0.2","0.0",".006"
"86","Frank Ramsey*","SG","30","BOS","79","1913","16.5",".504",".397","3.9","3.4","7.3",".183"
"87","Hub Reed","C","25","CIN","80","1446","8.9",".470",".178","0.6","0.6","1.3",".042"
"88","Joe Roberts","PF","25","SYR","80","1642","10.4",".437",".313","-0.2","2.2","1.9",".056"
"89","Oscar Robertson*","PG","23","CIN","79","3503","26.2",".554",".482","13.4","2.2","15.6",".214"
"90","Guy Rodgers*","PG","26","PHW","80","2650","9.8",".395",".243","-1.1","3.2","2.1",".038"
"91","Joe Ruklick","PF","23","PHW","46","302","5.3",".341",".177","-0.8","0.3","-0.5","-0.080"
"92","Bill Russell*","C","27","BOS","76","3433","19.6",".489",".382","3.9","11.6","15.5",".217"
"93","Tom Sanders*","SF","23","BOS","80","2325","12.5",".488",".327","2.2","5.1","7.2",".149"
"94","Woody Sauldsberry","PF","27","TOT","63","1765","9.0",".366",".142","-3.8","1.1","-2.8","-0.075"
"94","Woody Sauldsberry","PF","27","STL","14","291","7.8",".375",".238","-0.5","0.1","-0.4","-0.061"
"94","Woody Sauldsberry","PF","27","CHP","49","1474","9.3",".364",".126","-3.4","1.0","-2.4","-0.078"
"95","Dolph Schayes*","PF","33","SYR","56","1480","15.9",".461",".425","0.9","2.1","3.1",".099"
"96","Ray Scott","PF","23","DET","75","2087","15.6",".442",".406","0.0","2.5","2.5",".057"
"97","Frank Selvy","SG","29","LAL","79","2806","13.2",".481",".391","2.9","2.6","5.5",".094"
"98","Lee Shaffer","SF","22","SYR","75","2083","15.6",".481",".263","2.6","2.4","5.0",".115"
"99","Gene Shue","PG","30","DET","80","3143","14.8",".470",".314","2.9","2.8","5.6",".086"
"100","Bob Sims","SG","23","TOT","65","1345","9.1",".434",".440","-0.1","0.5","0.4",".015"
"100","Bob Sims","SG","23","LAL","19","171","6.0",".414",".661","-0.1","0.1","0.0",".007"
"100","Bob Sims","SG","23","STL","46","1174","9.5",".437",".410","0.0","0.4","0.4",".016"
"101","Adrian Smith","SG","25","CIN","80","1462","11.1",".483",".445","1.4","0.5","1.8",".061"
"102","Bill Smith","G-F","22","NYK","9","83","5.7",".315",".242","-0.2","0.1","-0.2","-0.101"
"103","Bobby Smith","G","24","LAL","3","7","-6.7",".000",".000","0.0","0.0","0.0","-0.148"
"104","Sam Stith","SG","24","NYK","32","440","8.0",".394",".235","-0.4","0.3","-0.1","-0.006"
"105","Jack Turner","SG","22","CHP","42","567","8.8",".418",".190","-0.3","0.3","0.0","-0.002"
"106","Jack Twyman*","SF","27","CIN","80","2991","16.8",".528",".282","7.5","1.1","8.6",".138"
"107","Charlie Tyra","PF","26","CHP","78","1606","10.9",".413",".401","-1.0","1.2","0.2",".007"
"108","Horace Walker","SF","24","CHP","65","1331","10.4",".418",".440","-0.7","0.9","0.3",".010"
"109","Jerry West*","PG","23","LAL","75","3087","22.9",".524",".516","9.8","3.1","12.9",".201"
"110","Bob Wiesenhahn","SF","23","CIN","60","326","7.5",".342",".186","-0.9","0.2","-0.7","-0.107"
"111","Lenny Wilkens*","PG","24","STL","20","870","11.9",".441",".302","0.1","0.3","0.4",".022"
"112","Wayne Yates","C","24","LAL","37","263","4.1",".314",".210","-0.8","0.3","-0.5","-0.085"
"113","Dave Zeller","PG","22","CIN","61","278","9.2",".400",".235","-0.2","0.1","-0.1","-0.010"
